년월,평균기온(℃),최저기온(℃),최고기온(℃)
Oct-10,14.5,0.7,24.2
Nov-10,6.5,-5.2,17.4
Dec-10,-1.3,-15.1,13.5
Jan-11,-7.2,-17.8,0.3
Feb-11,1.2,-9.2,13.2
Mar-11,3.6,-5.5,16.8
Apr-11,10.7,4.3,19
May-11,17.9,8.5,31.2
Jun-11,22,14.4,32.9
Jul-11,24.6,18.9,34.1
Aug-11,25.8,18.1,34.1
Sep-11,21.8,10.3,32.4
Oct-11,14.2,3.1,23.4
Nov-11,10.7,-5.5,25.9
Dec-11,-0.9,-10.6,9.1
Jan-12,-2.8,-12.2,8.4
Feb-12,-2,-17.1,12.1
Mar-12,5.1,-5.7,16.2
Apr-12,12.3,0.6,29.4
May-12,19.7,12,29.3
Jun-12,24.1,16.3,33.5
Jul-12,25.4,18.5,33.2
Aug-12,27.1,18.7,36.7
Sep-12,21,12,29.5
Oct-12,15.3,2.8,26
Nov-12,5.5,-3,15.7
Dec-12,-4.1,-14.5,8.3
Jan-13,-3.4,-16.4,11.5
Feb-13,-1.2,-15.8,13.9
Mar-13,5.1,-4.4,23.8
Apr-13,10,1.3,21.6
May-13,18.2,7.9,31.8
Jun-13,24.4,16.3,32.6
Jul-13,25.5,20.5,31.3
Aug-13,27.7,21.1,33.9
Sep-13,21.8,10.9,31.1
Oct-13,15.8,4.3,28.1
Nov-13,6.2,-6.4,20.7
Dec-13,-0.2,-9.8,11
Jan-14,-0.7,-10.5,8.2
Feb-14,1.9,-10.5,16.4
Mar-14,7.9,-4.6,23.8
Apr-14,14,2.3,26.2
May-14,18.9,6.8,33.3
Jun-14,23.1,17.3,31.1
Jul-14,26.1,19.1,34.4
Aug-14,25.2,18.3,35.8
Sep-14,22.1,14.9,31.3
Oct-14,15.6,2.7,29
Nov-14,9,-3.1,22.9
Dec-14,-2.9,-13.2,7.9
Jan-15,-0.9,-9.8,9
Feb-15,1,-13,13
Mar-15,6.3,-6.9,21.9
Apr-15,13.3,3.5,28.3
May-15,18.9,8.3,32.2
Jun-15,23.6,15.6,34.9
Jul-15,25.8,18.2,36
Aug-15,26.3,18.9,34.4
Sep-15,22.4,14.2,31
Oct-15,15.5,1.1,26.6
Nov-15,8.9,-7.3,21
Dec-15,1.6,-9.5,12.2
Jan-16,-3.2,-18,9.5
Feb-16,0.2,-10,14.4
Mar-16,7,-7.5,21.4
Apr-16,14.1,5.1,29.6
May-16,19.6,8.9,31.9
Jun-16,23.6,17.1,32.2
Jul-16,26.2,19.8,34.1
Aug-16,28,16.1,36.6
Sep-16,23.1,14.3,31.1
Oct-16,16.1,0.7,29
Nov-16,6.8,-6.2,18.6
Dec-16,1.2,-9.8,13.6
Jan-17,-1.8,-12.6,11.4
Feb-17,-0.2,-9.3,12.3
Mar-17,6.3,-5.3,18.9
Apr-17,13.9,3.1,27.8
May-17,19.5,10,30.3
Jun-17,23.3,14.5,34.1
Jul-17,26.9,21.9,35.4
Aug-17,25.9,16.1,35.3
Sep-17,22.1,11.2,31.4
Oct-17,16.4,2.5,29.4
Nov-17,5.6,-6.6,18.4
Dec-17,-1.9,-12.3,8.7
Jan-18,-4,-17.8,8.7
Feb-18,-1.6,-13.4,10.4
Mar-18,8.1,-6.7,22.1
Apr-18,13,0.1,26.3
May-18,18.2,6.9,29.6
Jun-18,23.1,16.3,32.9
Jul-18,27.8,17.7,38.3
Aug-18,28.8,20.2,39.6
Sep-18,21.5,10.8,30.9
Oct-18,13.1,0.7,25.6
Nov-18,7.8,-3.1,19.4
Dec-18,-0.6,-14.4,13.5
Jan-19,-0.9,-10.1,8.5
Feb-19,1,-10.2,14.5
Mar-19,7.1,-1.7,17.6
Apr-19,12.1,0.3,28.2
May-19,19.4,8.4,33.4
Jun-19,22.5,14.1,32.8
Jul-19,25.9,19.3,36.1
Aug-19,27.2,18.5,36.8
Sep-19,22.6,13.6,30.5
Oct-19,16.4,4.7,28.2
Nov-19,7.6,-4.6,22.1
Dec-19,1.4,-10.9,12.9
Jan-20,1.6,-6.5,11.9
Feb-20,2.5,-11.8,15.6
Mar-20,7.7,-2.8,20.6
Apr-20,11.1,1.9,23.8
May-20,18,9.2,30
Jun-20,23.9,14.8,35.4
Jul-20,24.1,17.2,32.9
Aug-20,26.5,21.5,34.5
Sep-20,21.4,13.6,29.5
Oct-20,14.3,3.2,23.6
Nov-20,8,-3.6,20
Dec-20,-0.3,-12.9,11.4
Jan-21,-2.4,-18.6,13.9
Feb-21,2.7,-10.6,17.4
Mar-21,9,-1.2,22.9
Apr-21,14.2,3.1,28.2
May-21,17.1,7.3,30.8
Jun-21,22.8,13.3,31.6
Jul-21,28.1,19.6,36.5
Aug-21,25.9,18.1,33.7
Sep-21,22.6,16,30.3
Oct-21,15.6,1.3,28.8
Nov-21,8.2,-3.7,21.3
Dec-21,,-4.6,7
