기온분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 경남
기간 : 1973~2021 01~12

년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2006-12,경남,3.4,-1.3,9.7
2007-01,경남,2.6,-2.3,8.9
2007-02,경남,5.5,-0.3,12.4
2007-03,경남,8.3,3,14.3
2007-04,경남,12.7,6.4,19.4
2007-05,경남,18.4,12.5,24.9
2007-06,경남,21.8,17.5,27
2007-07,경남,24,20.7,28.2
2007-08,경남,26.7,23.4,31.1
2007-09,경남,22,19.1,26
2007-10,경남,16.2,11.6,22.4
2007-11,경남,8.5,2.7,15.8
2007-12,경남,4.4,0.1,9.8
2008-01,경남,1.7,-2.4,6.8
2008-02,경남,1.2,-4.6,7.8
2008-03,경남,8,2,14.8
2008-04,경남,13.4,7.3,19.9
2008-05,경남,17.7,11.6,24.3
2008-06,경남,20.2,16.2,24.8
2008-07,경남,26.7,23.1,31.4
2008-08,경남,24.9,21,30.2
2008-09,경남,22,17.5,27.7
2008-10,경남,16.6,11,23.7
2008-11,경남,8.8,3.7,15.2
2008-12,경남,3,-2.5,9.8
2009-01,경남,0.3,-5,6.8
2009-02,경남,5.9,0.6,12
2009-03,경남,8.3,2.4,14.4
2009-04,경남,13.8,7.4,20.9
2009-05,경남,18.8,12.5,25.9
2009-06,경남,22.3,17.6,27.8
2009-07,경남,23.9,20.7,28.2
2009-08,경남,24.7,21.1,29.3
2009-09,경남,21.6,17.3,27.3
2009-10,경남,16,10.2,23.3
2009-11,경남,8.8,4.2,14.6
2009-12,경남,2.6,-2,8.3
2010-01,경남,0.3,-5,6.5
2010-02,경남,3.7,-0.8,9.1
2010-03,경남,6.6,2.1,11.2
2010-04,경남,10.6,5.2,16.4
2010-05,경남,17.6,11.8,23.8
2010-06,경남,22.7,17.7,28.5
2010-07,경남,25.4,22.3,29.8
2010-08,경남,27.4,24.3,32
2010-09,경남,22.6,18.6,28.2
2010-10,경남,15.6,10.8,22
2010-11,경남,7.8,1.6,15.4
2010-12,경남,2.2,-3,8.3
2011-01,경남,-2.7,-8.1,3.2
2011-02,경남,3.4,-2.2,10
2011-03,경남,6,-0.2,12.4
2011-04,경남,12.5,6.2,18.9
2011-05,경남,17.6,12.5,23
2011-06,경남,22.5,18.1,27.7
2011-07,경남,25.5,22.2,29.8
2011-08,경남,25.3,22.5,29.4
2011-09,경남,21.9,17.6,27.3
2011-10,경남,14.9,9.5,21.4
2011-11,경남,11.7,7.6,16.9
2011-12,경남,2.2,-2.5,7.7
2012-01,경남,0.6,-4.1,5.9
2012-02,경남,0.8,-4,6.2
2012-03,경남,7,2,12.2
2012-04,경남,13.5,7.5,19.7
2012-05,경남,18.8,13.5,25
2012-06,경남,21.8,18,26.6
2012-07,경남,26,22.6,30.5
2012-08,경남,26.7,23.4,31.2
2012-09,경남,20.7,16.7,26.1
2012-10,경남,14.9,9.1,22.1
2012-11,경남,7.7,2.7,13.5
2012-12,경남,0.3,-4.1,5.4
2013-01,경남,-0.3,-5.3,5.6
2013-02,경남,2.5,-2.8,8.2
2013-03,경남,8.7,1.6,16.1
2013-04,경남,11.5,5.2,17.9
2013-05,경남,18.5,12.4,25.2
2013-06,경남,22.7,18.8,27.5
2013-07,경남,26.8,23.3,31.1
2013-08,경남,27.7,23.6,33.3
2013-09,경남,21.8,17.6,27.4
2013-10,경남,16.3,11.6,22.6
2013-11,경남,8.2,3.1,14.5
2013-12,경남,2.9,-2.1,8.6
2014-01,경남,1.9,-3.8,8.6
2014-02,경남,4.1,-0.8,9.7
2014-03,경남,8.7,3.1,14.7
2014-04,경남,13.9,8,20.6
2014-05,경남,18.9,12.4,25.8
2014-06,경남,21.8,17.9,26.7
2014-07,경남,25,21.4,29.6
2014-08,경남,23.9,21.1,27.8
2014-09,경남,21.1,16.9,26.7
2014-10,경남,15.4,10.5,21.7
2014-11,경남,9.7,4.7,16
2014-12,경남,1.3,-3.4,6.7
2015-01,경남,2,-2.9,7.6
2015-02,경남,3.2,-1.9,9
2015-03,경남,7.8,1.5,14.7
2015-04,경남,13.3,8.1,19
2015-05,경남,19.1,12.9,25.6
2015-06,경남,21.3,17.2,26.4
2015-07,경남,24.3,20.9,28.7
2015-08,경남,25.3,21.5,30.3
2015-09,경남,20.6,16.4,26
2015-10,경남,15.5,10.1,22.6
2015-11,경남,11.4,7.8,15.8
2015-12,경남,5.1,0.7,10.3
2016-01,경남,0.8,-3.6,6
2016-02,경남,3.4,-1.7,9.3
2016-03,경남,8.5,3,14.7
2016-04,경남,14.4,9.2,20.5
2016-05,경남,18.9,12.8,25.4
2016-06,경남,22.2,18.3,27
2016-07,경남,25.8,22.3,30.4
2016-08,경남,26.9,22.7,32.6
2016-09,경남,21.7,18.7,25.9
2016-10,경남,16.6,13,21.4
2016-11,경남,9,4,14.9
2016-12,경남,4.3,-0.8,10.2
2017-01,경남,1.6,-3.7,7.7
2017-02,경남,3.5,-2.6,9.7
2017-03,경남,7.4,1.7,13.8
2017-04,경남,14.6,8.5,21
2017-05,경남,19.2,12.7,26.1
2017-06,경남,22.1,16.8,28.4
2017-07,경남,26.8,23.2,31.6
2017-08,경남,26.2,22.3,31.2
2017-09,경남,20.8,16.1,26.7
2017-10,경남,16.1,12,21.8
2017-11,경남,8.3,2.2,15.3
2017-12,경남,1.1,-4.3,7.1
2018-01,경남,-0.3,-5,5.4
2018-02,경남,1.6,-4.3,8
2018-03,경남,8.9,2.8,15.4
2018-04,경남,14.1,8.1,20.4
2018-05,경남,18.3,13.3,23.8
2018-06,경남,22.2,17.6,27.7
2018-07,경남,27,23,32
2018-08,경남,27.2,23.2,32.3
2018-09,경남,20.7,16.9,25.3
2018-10,경남,13.9,8.7,20.3
2018-11,경남,8.9,3.6,15.9
2018-12,경남,2.9,-1.8,8.5
2019-01,경남,1.9,-3.6,8.6
2019-02,경남,4.2,-1.1,10.3
2019-03,경남,8.9,2.9,15.4
2019-04,경남,12.8,7.1,18.8
2019-05,경남,19.1,12.2,26.2
2019-06,경남,21.5,17,27.1
2019-07,경남,24.7,21.4,28.9
2019-08,경남,26.4,22.5,31.1
2019-09,경남,22.1,18.7,26.7
2019-10,경남,16.8,12.4,22.3
2019-11,경남,10.5,5.3,17.1
2019-12,경남,4.3,-0.4,10.2
2020-01,경남,4.2,0.1,9.4
2020-02,경남,5.3,0.3,11.1
2020-03,경남,9.3,3.5,15.3
2020-04,경남,11.9,5.8,18.2
2020-05,경남,18.1,13.4,23.5
2020-06,경남,22.8,18.5,28.3
2020-07,경남,22.5,20,25.9
2020-08,경남,27.1,24.1,31.3
2020-09,경남,20.8,17.2,25.4
2020-10,경남,15.2,10.4,21.4
2020-11,경남,10.1,5,16
2020-12,경남,2.3,-2.4,8.2
2021-01,경남,1.4,-3.7,7
2021-02,경남,5.4,-0.1,11.5
2021-03,경남,10.2,4.9,16.1
2021-04,경남,14,8.2,20.2
2021-05,경남,17.7,12.7,23
2021-06,경남,22,18.1,26.8
2021-07,경남,26.1,22.7,30.6
2021-08,경남,25.7,22.6,30.1
2021-09,경남,22,18.8,26.2
2021-10,경남,16.6,12,22.7
2021-11,경남,,,

