년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2018-09,경북,20.1,15.9,25
2018-10,경북,13.1,7.9,19.4
2018-11,경북,8,2.5,14.7
2018-12,경북,1.4,-3.4,6.9
2019-01,경북,1,-4.2,6.9
2019-02,경북,3.3,-1.8,8.9
2019-03,경북,8.3,2.1,14.8
2019-04,경북,12.4,6.3,18.6
2019-05,경북,19.3,12.1,26.4
2019-06,경북,21.4,16.4,27.2
2019-07,경북,25,21.3,29.4
2019-08,경북,26.1,22.2,31.1
2019-09,경북,21.7,17.8,26.4
2019-10,경북,15.4,10.5,21.4
2019-11,경북,8.4,2.9,15.2
2019-12,경북,2.4,-2.4,8.4
2020-01,경북,2.8,-1.2,7.8
2020-02,경북,3.6,-1.5,9.3
2020-03,경북,8.1,1.7,14.6
2020-04,경북,11.2,4.5,18
2020-05,경북,17.8,12.3,23.7
2020-06,경북,22.8,17.7,28.5
2020-07,경북,22,19,25.7
2020-08,경북,26.5,23,31
2020-09,경북,19.7,15.7,24.8
2020-10,경북,13.6,8.1,20.1
2020-11,경북,8.4,3,14.4
2020-12,경북,0.3,-4.9,6.3
2021-01,경북,-1.1,-6.5,4.8
2021-02,경북,3.5,-2.5,10
2021-03,경북,8.8,3,14.7
2021-04,경북,12.8,6.6,19
2021-05,경북,16.3,10.8,22.2
2021-06,경북,21.3,16.9,26.4
2021-07,경북,25.4,21.3,30.4
2021-08,경북,24.1,20.9,28.6
2021-09,경북,20.6,16.8,25.2
2021-10,경북,14.7,9.9,21
